date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2018-01-01,1380279517,0,0,0,0,0
2018-01-02,1373452749,0,0,0,0,0
2018-01-03,1389678295,0,0,0,0,0
2018-01-04,1472112403,0,0,0,0,0
2018-01-05,1467642070,0,0,0,0,0
2018-01-06,1480612643,0,0,0,0,0
2018-01-07,1470042396,0,0,0,0,0
2018-01-08,1486176704,0,0,0,0,0
2018-01-09,1474241133,0,0,0,0,0
2018-01-10,1471466444,0,0,0,0,0
2018-01-11,1477133270,0,0,0,0,0
2018-01-12,1473800706,0,0,0,0,0
2018-01-13,1471481125,0,0,0,0,0
2018-01-14,1493076726,0,0,0,0,0
2018-01-15,1479012425,0,0,0,0,0
2018-01-16,1667199879,0,0,0,0,0
2018-01-17,1651892740,0,0,0,0,0
2018-01-18,1653834449,0,0,0,0,0
2018-01-19,1627071227,0,0,0,0,0
2018-01-20,1623851226,0,0,0,0,0
2018-01-21,1622945095,0,0,0,0,0
2018-01-22,1606354810,0,0,0,0,0
2018-01-23,1629643991,0,0,0,0,0
2018-01-24,1625954744,0,0,0,0,0
2018-01-25,1616581144,0,0,0,0,0
2018-01-26,1605304669,0,0,0,0,0
2018-01-27,1610901645,0,0,0,0,0
2018-01-28,2252858690,0,0,0,0,0
2018-01-29,2269639107,0,0,0,0,0
2018-01-30,2266183243,0,0,0,0,0
2018-01-31,2224566037,0,0,0,0,0
2018-02-01,2201862497,0,0,0,0,0
2018-02-02,2169643006,0,0,0,0,0
2018-02-03,2193721156,0,0,0,0,0
2018-02-04,2215748450,0,0,0,0,0
2018-02-05,2208046102,0,0,0,0,0
2018-02-06,2240775535,0,0,0,0,0
2018-02-07,2207205806,0,0,0,0,0
2018-02-08,2216289432,0,0,0,0,0
2018-02-09,2256871977,0,0,0,0,0
2018-02-10,2220887782,0,0,0,0,0
2018-02-11,2229312917,0,0,0,0,0
2018-02-12,2231929143,0,0,0,0,0
2018-02-13,2220377840,0,0,0,0,0
2018-02-14,2225255549,0,0,0,0,0
2018-02-15,2211790853,0,0,0,0,0
2018-02-16,2219624012,0,0,0,0,0
2018-02-17,2222129381,0,0,0,0,0
2018-02-18,2230953601,0,0,0,0,0
2018-02-19,2224435207,0,0,0,0,0
2018-02-20,2216613134,0,0,0,0,0
2018-02-21,2218471098,0,0,0,0,0
2018-02-22,2219978754,0,0,0,0,0
2018-02-23,2224213493,0,0,0,0,0
2018-02-24,2212254236,0,0,0,0,0
2018-02-25,2230332802,0,0,0,0,0
2018-02-26,2228315204,0,0,0,0,0
2018-02-27,2219801383,0,0,0,0,0
2018-02-28,2214462508,0,0,0,0,0
2018-03-01,2221331210,0,0,0,0,0
2018-03-02,2218537613,0,0,0,0,0
2018-03-03,2214677571,0,0,0,0,0
2018-03-04,2219867897,0,0,0,0,0
2018-03-05,2209485027,0,0,0,0,0
